Questions,Category,text,label
"What associations does the term ""freedom"" bring up?",BT2,what associations does the term freedom bring up?,1
Propose ONE (1) new local seafood flavor for Manhattan fish market's Malaysian consumers. Describe the need for the new flavor.,BT6,propose one (1) new local seafood flavor for manhattan fish market's malaysian consumers. describe the need for the new flavor.,5
Evaluate the effectiveness of using machine learning algorithms for predicting traffic patterns and optimizing transportation infrastructure.,BT3,evaluate the effectiveness of using machine learning algorithms for predicting traffic patterns and optimizing transportation infrastructure.,2
Defend freedom of speech as a fundamental right.,BT5,defend freedom of speech as a fundamental right.,4
What is interpolation?,BT1,what is interpolation?,0
"Draw a graph showing the demand curve faced by a perfectly competitive firm. On the same graph, draw the demand curve faced by a monopolistically competitive firm. Explain your reasoning for each curve. ",BT2,"draw a graph showing the demand curve faced by a perfectly competitive firm. on the same graph, draw the demand curve faced by a monopolistically competitive firm. explain your reasoning for each curve.",1
Discuss factors which could contribute to changes in the sugar compositions of cocoa beans during fermentation. ,BT2,discuss factors which could contribute to changes in the sugar compositions of cocoa beans during fermentation.,1
Compare pulse Amplitude modulation and pulse position modulation.,BT4,compare pulse amplitude modulation and pulse position modulation.,3
Design a framework for implementing zero-trust security architecture in enterprise networks to mitigate security risks and improve resilience.,BT6,design a framework for implementing zero-trust security architecture in enterprise networks to mitigate security risks and improve resilience.,5
"As an educator, evaluate FIVE (5) advantages and FIVE (5) disadvantages of using technology in education. ",BT5,"as an educator, evaluate five (5) advantages and five (5) disadvantages of using technology in education.",4
Distinguish between flat roof and pitched roof. ,BT4,distinguish between flat roof and pitched roof.,3
How do you build a functional underwater exploration vehicle?,BT6,how do you build a functional underwater exploration vehicle?,5
The open loop transfer function of the unity feedback system is 32200G(S)(61 1 S 6 )ss sï½ï«ï«ï« Using Routh criterion determine stability of the system.,BT3,the open loop transfer function of the unity feedback system is 32200g(s)(61 1 s 6 )ss sï½ï«ï«ï« using routh criterion determine stability of the system.,2
What is a law of gearing?,BT1,what is a law of gearing?,0
"Suppose you're planning the deployment of a fiber optic network for high-speed internet access. Describe the fiber optic cable types, connector interfaces, and installation techniques you would use to optimize signal integrity and bandwidth.",BT2,"suppose you're planning the deployment of a fiber optic network for high-speed internet access. describe the fiber optic cable types, connector interfaces, and installation techniques you would use to optimize signal integrity and bandwidth.",1
"Interpret the concept of ensemble learning methods, discussing their advantages in improving model robustness and accuracy.",BT2,"interpret the concept of ensemble learning methods, discussing their advantages in improving model robustness and accuracy.",1
A siphon of diameter 0.,BT3,a siphon of diameter 0.,2
Argue for or against the regulation of artificial intelligence.,BT5,argue for or against the regulation of artificial intelligence.,4
How to specify the impact energy and impact test temperature of the material in the Code,BT3,how to specify the impact energy and impact test temperature of the material in the code,2
Define FOUR (4) primary roles of advertising in business and society. ,BT1,define four (4) primary roles of advertising in business and society.,0
What are major facts about particular cultures and societies,BT1,what are major facts about particular cultures and societies,0
What are details of composition in Stainless steel and tool steel?,BT1,what are details of composition in stainless steel and tool steel?,0
Provide the objectives of building maintenance. ,BT2,provide the objectives of building maintenance.,1
Can you remember the principles of democracy in government?,BT1,can you remember the principles of democracy in government?,0
What are the Components of pneumatic and hydraulic systems?,BT1,what are the components of pneumatic and hydraulic systems?,0
Define briefly the role of marketing in advertising effectiveness. ,BT1,define briefly the role of marketing in advertising effectiveness.,0
Can you order these historical events to create a timeline?,BT2,can you order these historical events to create a timeline?,1
What modifications would you make to a meditation app to enhance user engagement?,BT6,what modifications would you make to a meditation app to enhance user engagement?,5
"Using Gauss - Divergence Theorem, show that",BT4,"using gauss - divergence theorem, show that",3
What is the difference between Testing and debugging?,BT4,what is the difference between testing and debugging?,3
Illustrate with example the FOUR (4) advantages of photography. ,BT2,illustrate with example the four (4) advantages of photography.,1
Judge the reliability of finite element analysis (FEA) simulations in predicting fatigue failure of structural components.,BT5,judge the reliability of finite element analysis (fea) simulations in predicting fatigue failure of structural components.,4
Indicate whether S2 or S3 is useful for genetic linkage analysis. Justify your answer. ,BT5,indicate whether s2 or s3 is useful for genetic linkage analysis. justify your answer.,4
What is machine instruction?,BT1,what is machine instruction?,0
Design a comprehensive framework for integrating artificial intelligence and machine learning algorithms into telecommunications networks for predictive maintenance and optimization.,BT6,design a comprehensive framework for integrating artificial intelligence and machine learning algorithms into telecommunications networks for predictive maintenance and optimization.,5
"A security breach has occurred in your organization's network, and you are tasked with analyzing network traffic logs to identify the source of the attack. Evaluate the effectiveness of using intrusion detection systems (IDS) versus intrusion prevention systems (IPS) for detecting and mitigating cyber threats.",BT4,"a security breach has occurred in your organization's network, and you are tasked with analyzing network traffic logs to identify the source of the attack. evaluate the effectiveness of using intrusion detection systems (ids) versus intrusion prevention systems (ips) for detecting and mitigating cyber threats.",3
How can you use your knowledge of history to analyze the impact of a technological innovation?,BT3,how can you use your knowledge of history to analyze the impact of a technological innovation?,2
Draw neat diagram of 3 phase FWR with R load.,BT1,draw neat diagram of 3 phase fwr with r load.,0
"Imagine you're configuring a digital subscriber line (DSL) network for broadband internet service. Explain how you would perform line qualification, provision DSLAMs, and optimize DSL profiles to maximize data rates and minimize latency.",BT2,"imagine you're configuring a digital subscriber line (dsl) network for broadband internet service. explain how you would perform line qualification, provision dslams, and optimize dsl profiles to maximize data rates and minimize latency.",1
The design rules are usually described in TWO (2) ways. Describe these TWO (2) ways. ,BT2,the design rules are usually described in two (2) ways. describe these two (2) ways.,1
Derive the equation for lateral earth pressure in active state for dry cohesionless backfill with uniform surcharge.,BT4,derive the equation for lateral earth pressure in active state for dry cohesionless backfill with uniform surcharge.,3
Can you identify the dependencies between different software modules in a complex software architecture?,BT4,can you identify the dependencies between different software modules in a complex software architecture?,3
Compare two dog food commercials. What is the difference between them and how do they both sell their products?,BT4,compare two dog food commercials. what is the difference between them and how do they both sell their products?,3
Explain the differences between forward and futures contract. ,BT2,explain the differences between forward and futures contract.,1
"Discuss the principles of environmental pollution control, explaining techniques for mitigating air pollution, water pollution, and noise pollution.",BT2,"discuss the principles of environmental pollution control, explaining techniques for mitigating air pollution, water pollution, and noise pollution.",1
"A manager of a small company makes the following statement - ""We need to keep hiring additional workers up to the point where the marginal productivity of the last worker we hire is at its maximum. This way we can maximize the total productivity of the firm.""  Critically evaluate this statement. ",BT5,a manager of a small company makes the following statement - we need to keep hiring additional workers up to the point where the marginal productivity of the last worker we hire is at its maximum. this way we can maximize the total productivity of the firm.  critically evaluate this statement.,4
What is modeling of DC motor?,BT1,what is modeling of dc motor?,0
Assess the feasibility of using nanocomposites for enhancing the mechanical properties of engineering materials.,BT5,assess the feasibility of using nanocomposites for enhancing the mechanical properties of engineering materials.,4
Design a PLL circuit using 565 IC to get free running frequency 4.,BT3,design a pll circuit using 565 ic to get free running frequency 4.,2
Find current through 5 ohm resistance by using Super Position Theorem as shown in fig.,BT3,find current through 5 ohm resistance by using super position theorem as shown in fig.,2
What techniques can you use to identify contradictory information in a complex social survey?,BT4,what techniques can you use to identify contradictory information in a complex social survey?,3
Describe what took place as the Hato was sinking.,BT2,describe what took place as the hato was sinking.,1
List out the properties of Continuous time Fourier Transform.,BT3,list out the properties of continuous time fourier transform.,2
What conclusions can you draw by combining perspectives from different philosophical schools?,BT6,what conclusions can you draw by combining perspectives from different philosophical schools?,5
Draw and explain the interfacing diagram of DAC0808 with PIC18FXXX.,BT1,draw and explain the interfacing diagram of dac0808 with pic18fxxx.,0
Differentiate between TCP and UDP protocol.,BT4,differentiate between tcp and udp protocol.,3
Explain geometrical isomerism in compound with one double bond.,BT4,explain geometrical isomerism in compound with one double bond.,3
Discuss FOUR (4) economic roles of money market. ,BT2,discuss four (4) economic roles of money market.,1
Write a short note on topological sorting.,BT3,write a short note on topological sorting.,2
"Match the correct sorting algorithm to its worst-case time complexity (e.g., Quick Sort - O(n^2))?",BT1,"match the correct sorting algorithm to its worst-case time complexity (e.g., quick sort - o(n^2))?",0
Solve a hypothetical scenario involving a ransomware attack on a critical infrastructure system and propose strategies for recovery and prevention.,BT3,solve a hypothetical scenario involving a ransomware attack on a critical infrastructure system and propose strategies for recovery and prevention.,2
Paraphrase an important speech,BT2,paraphrase an important speech,1
With a neat block diagram explain AC voltage measurement using 8051 microcontroller.,BT3,with a neat block diagram explain ac voltage measurement using 8051 microcontroller.,2
The probability of a man hitting a target is 1 3.,BT3,the probability of a man hitting a target is 1 3.,2
Define Exception.,BT1,define exception.,0
Explain Gauss Seidel method for solution of simultaneous equation.,BT2,explain gauss seidel method for solution of simultaneous equation.,1
What improvements needs to be done for packaging waste.,BT5,what improvements needs to be done for packaging waste.,4
Modify the parameters in the simulation to observe changes in the outcome.,BT3,modify the parameters in the simulation to observe changes in the outcome.,2
Derive with usual notations the basic governing âenergy equationâ of channel flow.,BT4,derive with usual notations the basic governing âenergy equationâ of channel flow.,3
"Distinguish between narrowband and broadband communication systems, discussing their respective advantages in wireless communication.",BT4,"distinguish between narrowband and broadband communication systems, discussing their respective advantages in wireless communication.",3
List the SEVEN (7) stages of the development process of a building project. ,BT1,list the seven (7) stages of the development process of a building project.,0
Explain the purposes of scaling. ,BT2,explain the purposes of scaling.,1
List the advantages of using spread spectrum modulation techniques in wireless communication?,BT1,list the advantages of using spread spectrum modulation techniques in wireless communication?,0
Find the rotation B ( Î¸B) for the beam with uniform flexural rigidity as shown in figure 2.,BT3,find the rotation b ( î¸b) for the beam with uniform flexural rigidity as shown in figure 2.,2
Devise a framework for evaluating the interpretability and trustworthiness of machine learning models in critical decision-making applications.,BT6,devise a framework for evaluating the interpretability and trustworthiness of machine learning models in critical decision-making applications.,5
Write short note on Self Lubricated Bearing.,BT2,write short note on self lubricated bearing.,1
"In a teaching simulation with your peers role-playing 6th grade students, demonstrate the principle of reinforcement in classroom interactions and prepare a half page description of what happened during the simulation that validated the principle.",BT3,"in a teaching simulation with your peers role-playing 6th grade students, demonstrate the principle of reinforcement in classroom interactions and prepare a half page description of what happened during the simulation that validated the principle.",2
Write a short note on :,BT1,write a short note on :,0
Evaluate the potential risks and benefits of using autonomous construction vehicles for earthmoving and excavation tasks.,BT3,evaluate the potential risks and benefits of using autonomous construction vehicles for earthmoving and excavation tasks.,2
What are the advantages of Digital Storage oscilloscope over Dual Trace oscilloscope.,BT2,what are the advantages of digital storage oscilloscope over dual trace oscilloscope.,1
Name FIVE vital plant processes that herbicides target. ,BT1,name five vital plant processes that herbicides target.,0
"Create a system for automatically generating personalized news summaries based on user interests, preferences, and reading habits using natural language processing.",BT6,"create a system for automatically generating personalized news summaries based on user interests, preferences, and reading habits using natural language processing.",5
Describe the software quality dilemma in your own words.,BT4,describe the software quality dilemma in your own words.,3
Describe the sensation of surprise.,BT2,describe the sensation of surprise.,1
Retell the steps to perform a slump test for concrete workability?,BT1,retell the steps to perform a slump test for concrete workability?,0
Distinguish between micro and macro economics.,BT4,distinguish between micro and macro economics.,3
Can you create an illustrated diagram of the process of mitosis?,BT4,can you create an illustrated diagram of the process of mitosis?,3
"Can you describe the concept of ""nature vs. nurture"" in psychology?",BT1,can you describe the concept of nature vs. nurture in psychology?,0
Draw and discuss the dead weight tester with diagram.,BT2,draw and discuss the dead weight tester with diagram.,1
Explain decision support trends in businesses.,BT1,explain decision support trends in businesses.,0
Can you please analyze modern contemporary culture and tell me how your work plays a significant part in the remains of our post-modernist culture ?,BT4,can you please analyze modern contemporary culture and tell me how your work plays a significant part in the remains of our post-modernist culture ?,3
Solve a real-world engineering problem using your knowledge of mechanics.,BT3,solve a real-world engineering problem using your knowledge of mechanics.,2
in which countries is arabic language spoken,BT1,in which countries is arabic language spoken,0
You are tasked with implementing a multi-factor authentication (MFA) system for an online banking platform. Explain how you would apply biometric authentication methods and token-based verification to enhance account security and prevent unauthorized access.,BT3,you are tasked with implementing a multi-factor authentication (mfa) system for an online banking platform. explain how you would apply biometric authentication methods and token-based verification to enhance account security and prevent unauthorized access.,2
Analyze the ethical considerations surrounding the collection and use of personal data by wearable devices and IoT sensors.,BT3,analyze the ethical considerations surrounding the collection and use of personal data by wearable devices and iot sensors.,2
Establish with examples why the concept of entropy is essential to explain the direction of spontaneous processes.,BT4,establish with examples why the concept of entropy is essential to explain the direction of spontaneous processes.,3
Establish criteria for making this choice and defend your final selection.,BT5,establish criteria for making this choice and defend your final selection.,4
Evaluate () ( )3 2 C5 12zdz zzâ +âï²ï  where C is the contour 3z=.,BT3,evaluate () ( )3 2 c5 12zdz zzâ +âï²ï  where c is the contour 3z=.,2
Use minimum 8 functions of vector STL.,BT1,use minimum 8 functions of vector stl.,0
Outline the main phases of a software development life cycle.,BT4,outline the main phases of a software development life cycle.,3
Autoclave aerated concrete block is gaining popular in high rise construction. Briefly illustrate what are the unique features of the autoclave aerated concrete block. ,BT2,autoclave aerated concrete block is gaining popular in high rise construction. briefly illustrate what are the unique features of the autoclave aerated concrete block.,1
Suppose you are optimizing the aerodynamic performance of a commercial aircraft wing design. Explain how you would apply computational fluid dynamics (CFD) simulations and wind tunnel testing to analyze airflow patterns and reduce drag for fuel efficiency.,BT3,suppose you are optimizing the aerodynamic performance of a commercial aircraft wing design. explain how you would apply computational fluid dynamics (cfd) simulations and wind tunnel testing to analyze airflow patterns and reduce drag for fuel efficiency.,2
Support your answers with ONE (1) example in everyday life for each strategy. ,BT5,support your answers with one (1) example in everyday life for each strategy.,4
The velocity and discharge for a 1 50 scale model of a spillway are 0.,BT4,the velocity and discharge for a 1 50 scale model of a spillway are 0.,3
"Discuss the principles of network monitoring tools (e.g., Wireshark, Nagios), explaining their functionalities for troubleshooting and performance optimization.",BT2,"discuss the principles of network monitoring tools (e.g., wireshark, nagios), explaining their functionalities for troubleshooting and performance optimization.",1
Draw and Explain the Task State Segment of 80386.,BT1,draw and explain the task state segment of 80386.,0
Write short note on CASE TOOLS for software development.,BT1,write short note on case tools for software development.,0
What are the advantages of digital instruments over analog instruments.,BT2,what are the advantages of digital instruments over analog instruments.,1
Can you order these excerpts to form a coherent argument?,BT2,can you order these excerpts to form a coherent argument?,1
Explain in brief the mesh selection criteria for screen printing applications.,BT3,explain in brief the mesh selection criteria for screen printing applications.,2
Explain any two mineral deficiencies in detail.,BT4,explain any two mineral deficiencies in detail.,3
Analyze the ethical considerations surrounding the relocation of communities for infrastructure development projects.,BT3,analyze the ethical considerations surrounding the relocation of communities for infrastructure development projects.,2
Illustrate the concept of evolution through a timeline of species.,BT3,illustrate the concept of evolution through a timeline of species.,2
Summarise the challenges of global advertising. ,BT2,summarise the challenges of global advertising.,1
Recall the principles of classical conditioning in psychology.,BT1,recall the principles of classical conditioning in psychology.,0
Evaluate the functions of the component of a structural floor. ,BT5,evaluate the functions of the component of a structural floor.,4
Evaluate using Stoke âs theorem ï¨ï© F Sdsïï´ ïï²ï²  where  2 F yiz jx y kï½ï« ï« and S is surface of paraboloid ï¨ï©2240zx y zï½ï­ ï­ ï³ .,BT3,evaluate using stoke âs theorem ï¨ï© f sdsïï´ ïï²ï²  where  2 f yiz jx y kï½ï« ï« and s is surface of paraboloid ï¨ï©2240zx y zï½ï­ ï­ ï³ .,2
"Explain the concept of structural analysis, discussing methods such as the force method and the displacement method.",BT2,"explain the concept of structural analysis, discussing methods such as the force method and the displacement method.",1
Draw the circuit diagram of three OP-AMP instrumentation amplifier and write its output equation.,BT1,draw the circuit diagram of three op-amp instrumentation amplifier and write its output equation.,0
Classify animals into two groups.,BT2,classify animals into two groups.,1
What are different data fragmentation techniques in distributed databases?,BT1,what are different data fragmentation techniques in distributed databases?,0
Illustrate the stages of product approach of teaching ESL writing. Use appropriate examples. ,BT2,illustrate the stages of product approach of teaching esl writing. use appropriate examples.,1
"Evaluate the effectiveness of different natural language processing (NLP) techniques (e.g., tokenization, named entity recognition, sentiment analysis) in text classification tasks.",BT4,"evaluate the effectiveness of different natural language processing (nlp) techniques (e.g., tokenization, named entity recognition, sentiment analysis) in text classification tasks.",3
Give types and applications of stepper motor.,BT2,give types and applications of stepper motor.,1
The Higgs Report (2003) is among the first report that discusses the importance of Senior Independent Non-Executive Director (Senior INED). Analyse the rationales of having Senior INED in a company. ,BT4,the higgs report (2003) is among the first report that discusses the importance of senior independent non-executive director (senior ined). analyse the rationales of having senior ined in a company.,3
Explain Filament winding Composite manufacturing process.,BT1,explain filament winding composite manufacturing process.,0
"Contrast the principles of model-based reinforcement learning and model-free reinforcement learning, discussing their respective approaches to learning optimal policies.",BT4,"contrast the principles of model-based reinforcement learning and model-free reinforcement learning, discussing their respective approaches to learning optimal policies.",3
What happens if you change the direction of the displacement (but not its size)?,BT3,what happens if you change the direction of the displacement (but not its size)?,2
Write down program to overload unary operators?,BT3,write down program to overload unary operators?,2
Assuming that the diameters of 1000 brass plugs taken consecutively from a machine form a normal distribution with mean 0.,BT3,assuming that the diameters of 1000 brass plugs taken consecutively from a machine form a normal distribution with mean 0.,2
Invent a method for retrofitting existing buildings with energy-efficient systems and renewable energy technologies to reduce carbon emissions and combat climate change.,BT6,invent a method for retrofitting existing buildings with energy-efficient systems and renewable energy technologies to reduce carbon emissions and combat climate change.,5
Explain Gibbs phase rules for metallurgical application?,BT1,explain gibbs phase rules for metallurgical application?,0
"You are designing a deep learning model for image recognition in autonomous vehicles to identify traffic signs, pedestrians, and other objects in real-time. Create a convolutional neural network (CNN) architecture that achieves high accuracy, low latency, and robust performance under various environmental conditions, incorporating techniques such as transfer learning, data augmentation, and model compression for efficient deployment in resource-constrained embedded systems.",BT6,"you are designing a deep learning model for image recognition in autonomous vehicles to identify traffic signs, pedestrians, and other objects in real-time. create a convolutional neural network (cnn) architecture that achieves high accuracy, low latency, and robust performance under various environmental conditions, incorporating techniques such as transfer learning, data augmentation, and model compression for efficient deployment in resource-constrained embedded systems.",5
How can you generate original concepts for an eco-friendly product line?,BT6,how can you generate original concepts for an eco-friendly product line?,5
"The pre-planning stage of a lesson takes into consideration several factors. Name 
FIVE (5) external factors and briefly explain the importance of each of the factors. ",BT2,"the pre-planning stage of a lesson takes into consideration several factors. name 
five (5) external factors and briefly explain the importance of each of the factors.",1
Create hash task and resolve collision using linear probing with replacement.,BT3,create hash task and resolve collision using linear probing with replacement.,2
List and explain various Privilege Instructions.,BT1,list and explain various privilege instructions.,0
Propose a line-up procedure that police departments can use to improve the accuracy. of eyewitness testimony. Support your proposal with ONE (1) relevant example. Elaborate your example in details. ,BT6,propose a line-up procedure that police departments can use to improve the accuracy. of eyewitness testimony. support your proposal with one (1) relevant example. elaborate your example in details.,5
Recall the theory of continental drift proposed by Alfred Wegener.,BT1,recall the theory of continental drift proposed by alfred wegener.,0
How would you break down a complex geological formation into its geological processes?,BT4,how would you break down a complex geological formation into its geological processes?,3
G .,BT5,g .,4
Explain screw compressor with neat sketch.,BT2,explain screw compressor with neat sketch.,1
Explain Intrusion Detection System with merits and demerits.,BT3,explain intrusion detection system with merits and demerits.,2
What is containment?,BT1,what is containment?,0
Judge the reliability of a software-defined storage (SDS) solution in optimizing data storage and retrieval across heterogeneous environments.,BT5,judge the reliability of a software-defined storage (sds) solution in optimizing data storage and retrieval across heterogeneous environments.,4
Compare under and over exposure and optimum exposure for screen stencil making process.,BT4,compare under and over exposure and optimum exposure for screen stencil making process.,3
Draw and explain the functional diagram of 723 regulator.,BT1,draw and explain the functional diagram of 723 regulator.,0
Explain construction and working of RVDT with neat diagram.,BT2,explain construction and working of rvdt with neat diagram.,1
Explain with the help of neat block diagram Armstrong method of FM generation.,BT1,explain with the help of neat block diagram armstrong method of fm generation.,0
Compare matching demand and level aggregate production planning. ,BT4,compare matching demand and level aggregate production planning.,3
"Evaluate the impact of different caching policies (e.g., LRU, FIFO, LFU) on cache hit rates and overall system performance.",BT4,"evaluate the impact of different caching policies (e.g., lru, fifo, lfu) on cache hit rates and overall system performance.",3
Define prosocial behaviors. ,BT1,define prosocial behaviors.,0
"A manufacturing facility is implementing an industrial automation system for controlling and monitoring production processes. Compare the features and scalability of different fieldbus protocols (e.g., Profibus, Modbus, EtherCAT) for connecting sensors and actuators in industrial control systems.",BT4,"a manufacturing facility is implementing an industrial automation system for controlling and monitoring production processes. compare the features and scalability of different fieldbus protocols (e.g., profibus, modbus, ethercat) for connecting sensors and actuators in industrial control systems.",3
Imagine you are configuring network firewalls for a corporate data center. Discuss how you would apply intrusion prevention rules and traffic filtering policies to detect and block malicious network traffic.,BT3,imagine you are configuring network firewalls for a corporate data center. discuss how you would apply intrusion prevention rules and traffic filtering policies to detect and block malicious network traffic.,2
Classify types of corrosion inhibitors  ,BT2,classify types of corrosion inhibitors,1
"Discuss the role of an infomediary in the online distribution system and evaluate the benefits of this type of distribution system to the consumer, infomediary and advertiser. ",BT5,"discuss the role of an infomediary in the online distribution system and evaluate the benefits of this type of distribution system to the consumer, infomediary and advertiser.",4
Sketch the Type III isotherm and provide a brief description of its nature and the processes that give rise to the isotherm. ,BT3,sketch the type iii isotherm and provide a brief description of its nature and the processes that give rise to the isotherm.,2
Explain FIVE (5) disadvantages of out-of-home (OOH) advertising. ,BT2,explain five (5) disadvantages of out-of-home (ooh) advertising.,1
How might old musical genres be combined to create a unique and captivating sound?,BT6,how might old musical genres be combined to create a unique and captivating sound?,5
Find the Fourier Transform of a,BT3,find the fourier transform of a,2
Explain significance of any three dimensionless numbers used in various modes of heat transfer for thermal analysis.,BT1,explain significance of any three dimensionless numbers used in various modes of heat transfer for thermal analysis.,0
Evaluate the long-term effects of a new policy.,BT5,evaluate the long-term effects of a new policy.,4
Explain with an energy band diagram how an electron-hole pair (EHP) is formed in a semiconductor. ,BT2,explain with an energy band diagram how an electron-hole pair (ehp) is formed in a semiconductor.,1
Compare the thermosetting plastics and thermoplastic.,BT4,compare the thermosetting plastics and thermoplastic.,3
What are the factors that must be considered for deciding the instruction length.,BT2,what are the factors that must be considered for deciding the instruction length.,1
How to calculate simple and compound interest?,BT1,how to calculate simple and compound interest?,0
What is groundwater?,BT1,what is groundwater?,0
Assess the value of structural functionalist theories in sociology.,BT5,assess the value of structural functionalist theories in sociology.,4
Solve the geometry problem involving angles and polygons.,BT3,solve the geometry problem involving angles and polygons.,2
Write functions for RR and RL rotation with respect to AVL tree.,BT3,write functions for rr and rl rotation with respect to avl tree.,2
Enlist the documents to be submitted for seeking commencement certificate and occupancy certificate.,BT1,enlist the documents to be submitted for seeking commencement certificate and occupancy certificate.,0
"Explain the concept of zero-trust security model, discussing its principles and benefits in modern network architectures.",BT2,"explain the concept of zero-trust security model, discussing its principles and benefits in modern network architectures.",1
Apply the principles of environmental science to analyze the impact of deforestation on ecosystems.,BT3,apply the principles of environmental science to analyze the impact of deforestation on ecosystems.,2
Explain briefly the media usage in advertising effectiveness. ,BT2,explain briefly the media usage in advertising effectiveness.,1
Explain in brief factors to be considered while selecting a adhesives.,BT1,explain in brief factors to be considered while selecting a adhesives.,0
Construct a binary search tree for the following set of elements.,BT3,construct a binary search tree for the following set of elements.,2
Outline how storage buffers may be deployed in automated production lines.,BT1,outline how storage buffers may be deployed in automated production lines.,0
How can you generate original concepts for an eco-friendly fashion line?,BT6,how can you generate original concepts for an eco-friendly fashion line?,5
How many automobile license plates can be made if each plate contains two different letters followed by three different digits.,BT3,how many automobile license plates can be made if each plate contains two different letters followed by three different digits.,2
"By using an appropriate diagram, explain how the open market operation (OMO) can put an upward pressure on the federal fund rate (FFR).",BT2,"by using an appropriate diagram, explain how the open market operation (omo) can put an upward pressure on the federal fund rate (ffr).",1
Describe the following sytesm in renewable energy system.,BT1,describe the following sytesm in renewable energy system.,0
Design and discuss the project decomposition and work task communication process.,BT1,design and discuss the project decomposition and work task communication process.,0
Design a framework for implementing federated learning techniques in healthcare systems to enable collaborative model training without sharing sensitive data.,BT6,design a framework for implementing federated learning techniques in healthcare systems to enable collaborative model training without sharing sensitive data.,5
Discuss any 2 of the following in detail.,BT1,discuss any 2 of the following in detail.,0
Why does ARM use CPSR?,BT1,why does arm use cpsr?,0
Differentiate between Virtual Instruments and traditional instruments.,BT4,differentiate between virtual instruments and traditional instruments.,3
"Compare the characteristics of shallow neural networks and deep neural networks, assessing their suitability for modeling complex relationships in data.",BT4,"compare the characteristics of shallow neural networks and deep neural networks, assessing their suitability for modeling complex relationships in data.",3
How multiple catching is implemented in exception handling?,BT4,how multiple catching is implemented in exception handling?,3
Explain the types of construction excavation. ,BT2,explain the types of construction excavation.,1
How would you develop a new mobile app for language translation?,BT6,how would you develop a new mobile app for language translation?,5
Draw and explain diagram of a CRO.,BT3,draw and explain diagram of a cro.,2
Can you recite a famous quote from Mahatma Gandhi?,BT1,can you recite a famous quote from mahatma gandhi?,0
Draw neat diagram of three phase full wave bridge rectifier with R load and explain its working.,BT2,draw neat diagram of three phase full wave bridge rectifier with r load and explain its working.,1
Evaluate the trade-offs between using a synchronous and asynchronous communication model in distributed systems architecture.,BT4,evaluate the trade-offs between using a synchronous and asynchronous communication model in distributed systems architecture.,3
Formulate an algorithm for dynamically allocating resources in 5G networks to optimize network performance and user experience in highly dense urban areas.,BT6,formulate an algorithm for dynamically allocating resources in 5g networks to optimize network performance and user experience in highly dense urban areas.,5
"Award the contract to the best proposal. Rank the principles of ""good sportsmanship"" in order of importance to you.",BT5,award the contract to the best proposal. rank the principles of good sportsmanship in order of importance to you.,4
Write a short note on V to I converter with grounded type load.,BT2,write a short note on v to i converter with grounded type load.,1
Write a short note on Reluctance motor.,BT2,write a short note on reluctance motor.,1
How many years does this animal live?,BT1,how many years does this animal live?,0
"Interpret the concept of network segmentation, discussing its role in reducing attack surface and containing security breaches.",BT2,"interpret the concept of network segmentation, discussing its role in reducing attack surface and containing security breaches.",1
Critique the accuracy of a natural language processing (NLP) model for sentiment analysis in customer feedback analysis.,BT5,critique the accuracy of a natural language processing (nlp) model for sentiment analysis in customer feedback analysis.,4
Draw and explain programmers model of ARM processor.,BT1,draw and explain programmers model of arm processor.,0
Describe in detail about purification of protein by affinity chromatography.,BT4,describe in detail about purification of protein by affinity chromatography.,3
How many kilometers from your home to the university,BT1,how many kilometers from your home to the university,0
What is buffer register?,BT1,what is buffer register?,0
Define stack as an ADT.,BT1,define stack as an adt.,0
Describe the scene using vivid language.,BT2,describe the scene using vivid language.,1
Quote a statement from a renowned scientist on the topic of evolution.,BT1,quote a statement from a renowned scientist on the topic of evolution.,0
Explain the concept of mechanical vibrations and their effects on structural integrity and human comfort.,BT2,explain the concept of mechanical vibrations and their effects on structural integrity and human comfort.,1
Differentiate between compound die and progressive die.,BT4,differentiate between compound die and progressive die.,3
Examine the data to identify trends in market demand.,BT3,examine the data to identify trends in market demand.,2
"Interpret the concept of thermodynamic cycles in power plants, discussing cycles such as Rankine cycle and Brayton cycle.",BT2,"interpret the concept of thermodynamic cycles in power plants, discussing cycles such as rankine cycle and brayton cycle.",1
State  the Characteristics of contour lines?,BT1,state  the characteristics of contour lines?,0
How would you group these ideas into related categories?,BT2,how would you group these ideas into related categories?,1
Do you think . . . is a good or a bad thing?,BT5,do you think . . . is a good or a bad thing?,4
In what ways are foxes similar to wolves and dogs,BT4,in what ways are foxes similar to wolves and dogs,3
Define solvency and liquidity. Give some simple strategies that banks can follow to avoid insolvency or illiquidity. State reasons banks might option not to adopt these strategies. ,BT2,define solvency and liquidity. give some simple strategies that banks can follow to avoid insolvency or illiquidity. state reasons banks might option not to adopt these strategies.,1
Explain types of queues. Write any one in detail.,BT1,explain types of queues. write any one in detail.,0
Draw interfacing diagram of ADC and draw a flow chart to read ADC.,BT2,draw interfacing diagram of adc and draw a flow chart to read adc.,1
Explain what are factors to be consider for selecetion of span length hence state factors affecting sag of transmission line.,BT4,explain what are factors to be consider for selecetion of span length hence state factors affecting sag of transmission line.,3
Compare Calliope with Howie. Use the word bank.,BT2,compare calliope with howie. use the word bank.,1
Define with examples.,BT1,define with examples.,0
